what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.tools.jst.web.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.ui",1476366513758
stopped,bundle,org.jboss.tools.struts.vpe.struts,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts.vpe.struts",1476366513759
stopped,bundle,org.jboss.tools.vpe.docbook,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.vpe.docbook",1476366513760
stopped,bundle,org.jboss.tools.vpe.html,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.vpe.html",1476366513760
stopped,bundle,org.jboss.tools.vpe.jsp,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.vpe.jsp",1476366513761
stopped,bundle,org.jboss.tools.vpe,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.vpe",1476366513761
stopped,bundle,org.jboss.tools.vpe.ui.palette,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.vpe.ui.palette",1476366513762
stopped,bundle,org.jboss.tools.jst.jsp,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.jsp",1476366513764
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1476366513766
stopped,bundle,org.jboss.tools.cdi.text.ext,1.0.1.v201006011046R-H111-GA,"org.jboss.tools.cdi.text.ext",1476366513767
stopped,bundle,org.jboss.tools.cdi.ui,1.0.1.v201006011046R-H111-GA,"org.jboss.tools.cdi.ui",1476366513767
stopped,bundle,org.jboss.tools.cdi.core,1.0.1.v201006011046R-H111-GA,"org.jboss.tools.cdi.core",1476366513780
stopped,bundle,org.jboss.tools.jsf.text.ext.facelets,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf.text.ext.facelets",1476366513781
stopped,bundle,org.jboss.tools.jsf.text.ext.richfaces,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf.text.ext.richfaces",1476366513782
stopped,bundle,org.jboss.tools.jsf.text.ext,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf.text.ext",1476366513783
stopped,bundle,org.jboss.tools.jsf.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf.verification",1476366513783
stopped,bundle,org.jboss.tools.jsf,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf",1476366513783
stopped,bundle,org.jboss.tools.struts.text.ext,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts.text.ext",1476366513786
stopped,bundle,org.jboss.tools.jst.text.ext,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.text.ext",1476366513791
stopped,bundle,org.jboss.tools.jst.web.kb,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.kb",1476366513792
stopped,bundle,org.jboss.tools.common.el.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.el.ui",1476366513793
stopped,bundle,org.jboss.tools.vpe.resref,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.vpe.resref",1476366513794
stopped,bundle,org.jboss.tools.common.resref.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.resref.ui",1476366513795
stopped,bundle,org.jboss.tools.common.verification.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.verification.ui",1476366513795
stopped,bundle,org.jboss.tools.hibernate.xml.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.hibernate.xml.ui",1476366513796
stopped,bundle,org.jboss.tools.common.model.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.model.ui",1476366513796
stopped,bundle,org.jboss.tools.common.text.ext,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.text.ext",1476366513797
stopped,bundle,org.jboss.tools.cdi.xml,1.0.1.v201006011046R-H111-GA,"org.jboss.tools.cdi.xml",1476366513797
stopped,bundle,org.jboss.tools.struts.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts.verification",1476366513797
stopped,bundle,org.jboss.tools.struts,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts",1476366513797
stopped,bundle,org.jboss.tools.jst.web.tiles,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.tiles",1476366513797
stopped,bundle,org.jboss.tools.jst.web.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.verification",1476366513797
stopped,bundle,org.jboss.tools.seam.pages.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.pages.xml",1476366513797
stopped,bundle,org.jboss.tools.seam.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.xml",1476366513797
stopped,bundle,org.jboss.tools.jst.web,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web",1476366513797
stopped,bundle,org.eclipse.jst.jsp.core,1.2.204.v201001270045,"org.eclipse.jst.jsp.core",1476366513799
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.web.ui",1476366513802
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.ui",1476366513804
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.3.1.v201006011046R-H111-GA,"org.jboss.tools.hibernate.jpt.ui",1476366513806
stopped,bundle,org.eclipse.jpt.ui,2.2.2.v200911250220,"org.eclipse.jpt.ui",1476366513807
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.ui",1476366513809
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.301.v200908131325,"org.eclipse.jst.ejb.ui",1476366513811
stopped,bundle,org.jboss.ide.eclipse.as.ssh,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.as.ssh",1476366513811
stopped,bundle,org.jboss.ide.eclipse.archives.webtools,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.archives.webtools",1476366513811
stopped,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.as.ui.mbeans",1476366513813
stopped,bundle,org.jboss.ide.eclipse.as.ui,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.as.ui",1476366514230
